transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,balance_after,merchant_name,merchant_category,channel,location,description,status
73,1,2024-12-03,09:00:00,Deposit,5000000,12650000,,-,Branch,Jakarta,Setor Tunai,Completed
74,1,2024-12-03,11:30:00,Payment,150000,12500000,Starbucks,Food & Beverage,Debit Card,Jakarta,Kopi,Completed
75,3,2024-12-03,10:15:00,Withdrawal,500000,12300000,,-,ATM,Jakarta,Tarik Tunai,Completed
76,6,2024-12-03,12:45:00,Deposit,1000000,19900000,,-,ATM,Bandung,Setor Tunai,Completed
77,8,2024-12-03,14:20:00,Payment,200000,7550000,Alfamart,Retail,Debit Card,Surabaya,Belanja,Completed
78,10,2024-12-03,15:30:00,Withdrawal,1500000,44900000,,-,ATM,Semarang,Tarik Tunai,Completed
79,12,2024-12-03,16:00:00,Payment,450000,35350000,Tokopedia,E-commerce,Internet Banking,Surabaya,Belanja Online,Completed
80,14,2024-12-03,09:45:00,Deposit,1000000,15200000,,-,Branch,Medan,Setor Tunai,Completed
81,16,2024-12-03,11:00:00,Payment,300000,26700000,Zara,Fashion,Debit Card,Tangerang,Belanja Baju,Completed
82,18,2024-12-03,13:15:00,Withdrawal,500000,8400000,,-,ATM,Bandung,Tarik Tunai,Completed
83,19,2024-12-03,14:30:00,Deposit,1500000,32500000,,-,Branch,Bandung,Setor Tunai,Completed
84,22,2024-12-03,10:20:00,Payment,500000,31550000,Lazada,E-commerce,Internet Banking,Palembang,Belanja Online,Completed
85,24,2024-12-03,12:00:00,Withdrawal,600000,12000000,,-,ATM,Pontianak,Tarik Tunai,Completed
86,25,2024-12-03,15:45:00,Deposit,2000000,28400000,,-,Branch,Solo,Setor Tunai,Completed
87,28,2024-12-03,09:30:00,Payment,250000,14450000,Shell,Fuel,Debit Card,Balikpapan,Bensin,Completed
88,30,2024-12-03,11:45:00,Withdrawal,2000000,42700000,,-,ATM,Jakarta,Tarik Tunai,Completed
89,33,2024-12-03,13:30:00,Deposit,1000000,21600000,,-,ATM,Bandung,Setor Tunai,Completed
90,36,2024-12-03,16:15:00,Payment,600000,39300000,Apple Store,Electronics,Debit Card,Bandung,Gadget,Completed
91,1,2024-12-03,17:30:00,Transfer Out,3000000,9500000,,-,Mobile Banking,Jakarta,Transfer ke 1007890123456,Completed
92,10,2024-12-03,17:31:25,Transfer In,3000000,47900000,,-,Mobile Banking,Semarang,Transfer dari 1001234567890,Completed
93,1,2024-12-03,18:45:00,Payment,250000,9250000,McDonald's,Food & Beverage,Debit Card,Jakarta,Makan,Completed
94,6,2024-12-03,19:00:00,Withdrawal,1000000,18900000,,-,ATM,Bandung,Tarik Tunai,Completed
95,1,2024-12-03,20:15:00,Deposit,6500000,15750000,,-,ATM,Jakarta,Setor Tunai,Completed
96,2,2024-12-03,08:30:00,Transfer Out,200000,8100000,,-,Mobile Banking,Jakarta,Transfer ke 1012345678901,Completed
97,18,2024-12-03,08:31:15,Transfer In,200000,8600000,,-,Mobile Banking,Bandung,Transfer dari 1001234567891,Completed
98,18,2024-12-03,14:00:00,Payment,200000,8400000,Gramedia,Retail,Debit Card,Bandung,Buku,Completed
99,18,2024-12-03,17:20:00,Deposit,500000,8900000,,-,ATM,Bandung,Setor Tunai,Completed
100,2,2024-12-03,19:30:00,Payment,200000,7900000,Cinema XXI,Entertainment,Debit Card,Jakarta,Nonton,Failed
